income,transactions,credit_score,account_type
14687.42664528386,35.0,627.443037337991,Standard
26228.229229328008,41.0,670.3113342524964,Standard
16750.30794398235,52.0,683.3528051734895,Standard
21332.1451023274,63.0,545.499112568486,Gold
44419.72140794002,62.0,,Standard
55812.82233466058,141.0,743.7092268948901,Premium
25875.632863335,41.0,728.5016140271337,
40474.3896800961,57.0,598.9808376368923,Gold
31755.956415766555,116.0,740.8043895121907,Standard
29245.641217308552,66.0,644.5685667955572,Standard
77328.59298166174,53.0,664.7738762211592,Standard
34727.322956669595,32.0,660.6093866552641,Basic
,59.0,634.348814589178,Gold
34676.261875596414,48.0,658.4986451453655,Standard
62678.47579501061,79.0,634.8837878961846,Gold
52066.71072598334,165.0,710.6602732274667,Gold
16753.459978989613,41.0,569.5830144850696,Basic
35750.21557422449,34.0,437.2296073031345,Basic
6448.65248924911,7.0,,
18458.360629916213,87.0,668.1238229402651,Gold
110588.92402276324,90.0,713.5569112990457,Gold
33461.58682017809,,658.3044066254075,Gold
63032.7987107286,173.0,,Gold
40196.86093364434,131.0,710.3436914809969,Gold
37058.45924498911,72.0,699.1752153179233,Standard
82218.58643771455,122.0,714.087388099851,Gold
46295.048190587855,96.0,577.7195013763959,Standard
,10.0,479.8567293459886,Standard
35280.58012335111,115.0,762.9446838978913,Gold
54702.72975745961,102.0,756.5081017848703,
36580.34474613231,42.0,527.666008525356,Standard
46085.67580894243,53.0,663.936151748533,Gold
20447.985994620074,58.0,698.5261910006606,Standard
30788.464042380496,111.0,663.7817578943703,Gold
21990.196949644454,10.0,591.182996292245,Standard
54569.821396194326,145.0,768.5101132714539,Premium
72715.26117954384,127.0,705.5272725942326,Premium
22624.39788657599,119.0,582.2471022241034,Gold
75374.96116050759,116.0,739.2066556412403,Gold
39798.646091490926,98.0,632.88456806878,Standard
94552.35270139616,198.0,743.1345745128295,Premium
30028.34538244828,58.0,652.7175288969286,Standard
41546.12378316236,103.0,653.4826332259439,Gold
34791.28522859804,91.0,581.5704942229072,Gold
33715.09861721823,8.0,470.2600789987082,Basic
33725.716512999425,114.0,734.8007034110543,Gold
72197.78904352638,34.0,527.7065042544763,Standard
65793.35996126219,126.0,777.4465296577804,
34396.60157554453,48.0,662.1166843041557,Standard
47226.90037676344,104.0,678.5673755163394,Standard
50580.11233849454,178.0,838.3099024944386,Premium
38672.37276490035,90.0,727.5631427366485,Standard
31339.04378277728,41.0,655.7430734106948,Standard
38424.22514782097,182.0,765.3727119711481,
62147.58787975783,39.0,634.545374540154,Gold
35886.26306875742,113.0,718.0055683124085,Standard
36087.9402733553,98.0,649.5591476877096,Standard
104368.52824084907,121.0,707.2056334582335,Premium
45596.798164371656,157.0,730.0181813930872,Premium
,165.0,741.9019869277292,Premium
39192.453012262304,41.0,654.4436503065872,Gold
37322.08421151937,39.0,646.3194442104046,Gold
43062.60847360892,91.0,604.9353090667666,Gold
54857.37284880027,94.0,747.4750474445647,Premium
64381.955676306425,170.0,723.8908513631678,Gold
33991.85289599278,50.0,685.012147668121,Gold
68678.58539148093,118.0,703.0223407055234,Gold
34296.672820012,62.0,688.5339164761556,Gold
52271.41212923811,,616.7886278347788,Gold
39195.1733589508,82.0,734.5863752547526,Gold
21506.372408921896,,720.3693654881691,Standard
31280.567095293947,62.0,615.8828699439923,Gold
16738.21179417245,53.0,548.146203251393,Gold
67017.52326888016,88.0,,Premium
46819.029867620906,110.0,644.4534032185245,Gold
55952.98759233875,84.0,706.2444923703972,Gold
26439.06665711751,78.0,752.3699460565119,Gold
44688.78181902638,42.0,665.1174145165821,Standard
66375.64572079896,108.0,773.6901841425201,Gold
17672.193959451564,6.0,588.0438207074644,Basic
56498.608436009315,30.0,717.8940394049994,Gold
21541.16378751848,37.0,577.357527046382,Gold
46802.697470614694,98.0,628.334829654872,
14368.199862897796,75.0,628.4028899195814,Standard
39049.117045282874,198.0,745.6058157977515,Gold
7360.881487531301,10.0,605.8415420205044,Basic
28816.091260376415,88.0,634.8067782284536,Standard
66130.08258004519,121.0,787.4682209741974,Gold
16102.630273530933,10.0,443.29966267810056,Basic
,180.0,717.1120261415593,Gold
43594.51947463837,130.0,809.2371359086046,Gold
46279.378182951354,62.0,632.8399381684416,Standard
58035.580684809356,64.0,649.7718585504851,Gold
96159.52832512377,167.0,726.7787120776048,Premium
57441.40763766801,112.0,,Gold
47187.94352237625,13.0,507.8621924772531,Basic
41206.7090401537,109.0,707.7177169204462,Gold
30540.749824079234,8.0,557.9610622149087,Basic
50852.531435286175,93.0,724.6194895063288,Premium
44267.15512194095,118.0,723.8329312714815,Gold
76631.49810558806,142.0,808.951042917764,Gold
22343.936814807817,15.0,744.8644196442335,Basic
72191.01503947433,26.0,,
44261.299243009125,30.0,531.0857676925723,Standard
53341.78788750278,111.0,729.5309530823919,Premium
15879.961763266801,35.0,477.7159651675994,
52008.252360861865,178.0,771.7224975457763,Gold
48870.215499778016,150.0,776.6253484324881,Gold
21430.53248273562,45.0,677.9554601307264,Standard
78389.85244470915,112.0,693.8912584240056,Gold
30272.250003959904,65.0,645.6793246584193,Gold
20061.291448279095,41.0,499.3662642284136,Standard
,84.0,662.9694654499847,Standard
81576.77307532761,194.0,728.3910602142356,Premium
31960.561509976877,,,Standard
38571.294669716815,39.0,615.0426710954041,Gold
29896.990008483193,113.0,676.7745904987603,Standard
46547.78708086932,107.0,745.6961331110793,Premium
36147.63024636159,72.0,674.6343241900203,Standard
71933.89754566737,138.0,768.1644939254303,Gold
18856.96965844163,25.0,528.5298520474728,Basic
73981.45536129917,36.0,559.4934337501992,Standard
26501.569479351536,81.0,724.4522586942239,Standard
92938.62710394523,80.0,759.039684028489,Premium
56304.62251482674,64.0,710.02057742067,Standard
89136.36279706079,107.0,636.5452781035525,Standard
69495.28905702777,113.0,731.69033947958,Premium
13440.557274603532,34.0,568.7419865992283,Basic
46164.1431522057,114.0,643.1461089479074,Gold
74722.75730075903,,745.8812698896219,Premium
63516.71450279122,175.0,729.9525990260277,Gold
50001.50545336719,158.0,736.7470193032196,Premium
65987.80233473491,92.0,717.0974310426843,Gold
27713.58780312055,93.0,595.1327065716671,Standard
49985.488702230075,169.0,787.1104821880938,Premium
,69.0,672.8838227214419,Standard
26894.988921026266,55.0,689.2003205457085,Gold
,,527.3867699342134,
123554.5559080309,33.0,660.1911363763734,Standard
63745.83187316499,182.0,727.1211910735454,Gold
30829.782553421937,102.0,635.8889405506394,Standard
,52.0,,Standard
13546.259359117652,35.0,539.6014016495066,Basic
32623.646568134052,31.0,742.9983503243465,Gold
80230.86242811524,124.0,751.9694747433367,Gold
15241.753990696161,49.0,510.4810097711297,Standard
27811.994126064106,97.0,554.3646741467891,Standard
26209.87757530963,54.0,722.2169395990906,Gold
48582.52082941275,19.0,622.4444648956419,Basic
30528.726152161278,115.0,727.0685498459092,Gold
24095.97401277483,103.0,642.1138020872949,Gold
48244.96444475567,188.0,766.304660737273,Gold
31585.060755641003,94.0,607.7931543241131,Gold
,28.0,521.4777903655314,Basic
61099.46942497643,,730.1178505986536,Gold
43269.749283517616,118.0,665.6229240548973,Gold
18482.97611500538,6.0,556.2575743401954,Standard
23574.470617110426,119.0,698.8154563240552,Gold
37334.21577922149,15.0,541.6104356444081,Basic
52102.83767328667,183.0,775.4976361218705,Premium
50649.43885750772,105.0,707.6622593214228,Gold
24736.672723647254,87.0,680.6920670737712,Standard
42391.44817000108,,782.6018106911782,Gold
57832.46153609724,180.0,748.6379203413949,Gold
61900.08159912663,182.0,,Premium
41512.37709510671,175.0,691.8026634419027,Premium
35264.86032929293,9.0,641.073670321361,Basic
22622.35264187981,65.0,687.0981508264732,Standard
33290.162411297824,73.0,673.6813693863783,Standard
18141.64503576546,15.0,,Basic
49549.586854422334,41.0,647.2257520851164,Gold
37186.92550714442,31.0,626.130913471234,Gold
27069.98801916287,48.0,690.1906525688129,Gold
12956.704867492304,28.0,426.08297681606757,Basic
14012.83617408127,44.0,604.0146704510935,Basic
14228.651759614113,,508.38387630930254,Standard
,46.0,570.0438263731259,Gold
8460.057166659724,48.0,532.4914179247842,Basic
35686.38955959204,144.0,710.7014793836257,Gold
43473.620828497995,63.0,701.6300202008988,Gold
52146.29269874677,94.0,750.842983900446,Gold
48032.6829387598,81.0,694.3031780123076,Standard
27090.086265514976,42.0,608.6053460542144,Standard
11443.479319275795,49.0,616.3331856362986,Standard
27587.82772219061,65.0,643.3850278028768,Standard
15768.96451100312,12.0,575.25448972714,Basic
48443.57011829695,,693.627079571524,Standard
25200.89994767148,78.0,667.0461099279477,Standard
55812.54743864392,102.0,778.8792386999911,Gold
70457.71439785362,123.0,742.3270608912318,Premium
35950.02108907988,81.0,738.5215758283359,Standard
35865.290944254964,80.0,688.543155073202,Gold
59632.191470285885,156.0,760.1406797662543,Premium
14963.77433418988,10.0,561.8810499073262,Basic
22619.569842990026,45.0,628.3174836614077,
28459.87984220172,42.0,763.7880648783602,Standard
24565.821016866466,24.0,584.1630855565124,Standard
33259.60786987667,192.0,755.0597816157988,Gold
31705.501152042198,41.0,563.4563448117217,Gold
11920.000593840665,37.0,358.13316088782085,Basic
4009711.05046229,301.0,795.7566072736444,Basic
1361926.781148203,331.0,782.8401374727301,Basic
2154742.3821225525,301.0,474.4576442209692,Premium
1436438.5270629989,218.0,777.895344047314,Premium
3602046.591166863,397.0,506.61973853494953,Premium
