severity,frequency,resolution_time,module,impact_score
,3.0,11.233868704346829,4.0,6.270160611304048
2.0,2.0,0.5049461291856641,2.0,1.551483838755699
4.0,6.0,10.784542258276291,5.0,6.635362677482887
2.0,2.0,1.6013616099847987,3.0,1.8804084829954395
4.0,,16.24178725644187,5.0,8.272536176932562
1.0,3.0,1.7409713552611095,1.0,1.8222914065783327
5.0,6.0,10.923622248284198,5.0,7.077086674485259
2.0,2.0,2.9729635337557876,3.0,2.2918890601267363
3.0,7.0,3.8168572223283403,4.0,4.445057166698502
3.0,6.0,5.809963421921911,2.0,4.7429890265765735
2.0,1.0,-0.65517604756347,3.0,0.9034471857309591
5.0,14.0,4.109462914448386,2.0,7.432838874334516
3.0,8.0,,2.0,4.684254242843608
4.0,3.0,6.2352169580160055,,4.370565087404802
3.0,14.0,8.530908480562193,2.0,7.959272544168658
2.0,2.0,-0.022314933195735076,,1.3933055200412794
2.0,3.0,3.0996469757848204,,2.629894092735446
4.0,11.0,17.66681027544906,5.0,10.200043082634718
3.0,7.0,2.1282756976411212,4.0,3.9384827092923365
4.0,7.0,14.989472126447206,5.0,8.196841637934162
,2.0,1.6907114535554224,3.0,1.5072134360666267
,6.0,9.34356326283415,4.0,5.803068978850245
4.0,7.0,15.511300673920454,4.0,8.353390202176136
1.0,1.0,1.0074138205968095,2.0,
1.0,5.0,16.476919684396258,5.0,6.8430759053188766
5.0,6.0,4.121050160688866,2.0,5.03631504820666
1.0,2.0,8.824977368798102,3.0,3.6474932106394307
4.0,5.0,12.96933474433245,3.0,6.990800423299735
4.0,6.0,13.20939316132657,5.0,7.362817948397971
1.0,1.0,,3.0,0.9886510370453554
2.0,4.0,0.3264953780097768,,2.097948613402933
3.0,11.0,7.610957614308658,4.0,6.783287284292598
1.0,1.0,1.340817697563522,2.0,1.1022453092690565
3.0,18.0,8.161944159073244,5.0,9.048583247721972
3.0,8.0,2.1397172440787346,4.0,4.241915173223621
4.0,8.0,16.490710739192085,4.0,8.947213221757625
3.0,5.0,6.835723894109552,2.0,
2.0,11.0,4.050109377678088,3.0,5.315032813303426
4.0,4.0,13.24983392439179,4.0,6.774950177317537
3.0,13.0,5.139604169980037,2.0,6.641881250994011
4.0,,5.60350610985007,5.0,5.081051832955021
2.0,2.0,3.042491617339421,2.0,2.312747485201826
1.0,2.0,1.9391359125252539,1.0,1.5817407737575762
3.0,15.0,16.110078925337916,1.0,10.533023677601374
2.0,4.0,1.7080473291743798,3.0,2.512414198752314
3.0,13.0,1.9612600680919732,2.0,5.688378020427591
1.0,4.0,3.179716344700701,3.0,2.5539149034102104
1.0,4.0,,1.0,2.2790287239906317
5.0,5.0,8.738003706846046,5.0,6.121401112053814
4.0,8.0,16.781768747966854,5.0,9.034530624390056
2.0,11.0,2.504433636070301,3.0,4.85133009082109
,4.0,6.525639537832571,3.0,5.157691861349772
1.0,2.0,2.296561384328971,3.0,1.6889684152986912
2.0,4.0,,3.0,2.2550622267516927
5.0,15.0,7.62849706431691,2.0,8.788549119295073
2.0,11.0,5.714030971930095,2.0,5.8142092915790275
1.0,1.0,1.6321742758672388,1.0,1.1896522827601717
5.0,3.0,13.612477308342308,4.0,6.983743192502692
1.0,2.0,1.0796091949326243,1.0,
1.0,4.0,0.49184671045251727,3.0,1.7475540131357552
4.0,4.0,10.747905167134238,3.0,
3.0,8.0,1.0958244009549962,3.0,3.928747320286499
2.0,4.0,2.754997797244736,3.0,2.826499339173421
3.0,8.0,3.879637919606061,2.0,4.763891375881818
1.0,11.0,7.124723054519737,1.0,5.83741691635592
5.0,,13.950693099693176,,7.6852079299079525
1.0,11.0,13.638747193227802,,7.791624157968339
3.0,1.0,4.830919080907146,4.0,2.9492757242721437
4.0,17.0,15.444329337904044,3.0,11.333298801371212
3.0,5.0,18.82846867959972,4.0,8.348540603879915
2.0,4.0,2.5014483315248053,1.0,2.7504344994574415
1.0,3.0,1.198172156650306,1.0,1.6594516469950915
2.0,,4.119911026606032,4.0,4.4359733079818096
1.0,2.0,1.7108631435300579,3.0,1.5132589430590173
3.0,14.0,6.324261349042093,3.0,7.297278404712628
1.0,4.0,1.9241962549718146,3.0,2.1772588764915444
3.0,11.0,5.887638856292456,2.0,6.266291656887737
5.0,5.0,10.097314608125592,3.0,6.5291943824376775
5.0,7.0,6.263644523069904,4.0,5.979093356920971
1.0,4.0,2.7955954638959417,1.0,2.4386786391687827
4.0,7.0,10.874459573795654,5.0,6.962337872138697
5.0,5.0,15.185621718785306,4.0,8.055686515635593
4.0,4.0,17.337782563456543,5.0,8.001334769036962
5.0,3.0,18.205051418931884,3.0,8.361515425679565
4.0,9.0,20.22037043448589,4.0,10.366111130345766
3.0,9.0,6.363905942589928,2.0,5.809171782776978
3.0,10.0,5.561983735470065,3.0,5.86859512064102
2.0,5.0,4.5837554992854495,2.0,3.6751266497856347
2.0,4.0,3.4039587386592935,1.0,3.0211876215977878
4.0,8.0,10.213266117237332,3.0,7.0639798351711995
,1.0,2.102347682549667,2.0,1.3307043047648999
